AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,ST,FER,RAC1P,label
18.0,14.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,0
25.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1
31.0,18.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
19.0,18.0,5.0,1.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,50.0,6.0,6.0,0.0,6.0,0
21.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,7700.0,1.0,6.0,0.0,1.0,0
55.0,16.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,7200.0,6.0,6.0,0.0,6.0,1
33.0,14.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,12000.0,6.0,6.0,0.0,1.0,1
45.0,19.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2400.0,6.0,6.0,0.0,9.0,0
19.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,200.0,6.0,6.0,2.0,1.0,0
18.0,19.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,300.0,1.0,6.0,2.0,1.0,0
17.0,15.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,720.0,6.0,6.0,2.0,9.0,1
25.0,18.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,200.0,6.0,6.0,0.0,8.0,1
27.0,21.0,5.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,24800.0,4.0,6.0,0.0,1.0,0
19.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,1200.0,6.0,6.0,2.0,2.0,0
60.0,22.0,5.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
19.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,12000.0,4.0,6.0,0.0,1.0,0
30.0,10.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,6.0,6.0,0.0,8.0,1
19.0,16.0,5.0,2.0,2.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,9.0,0
23.0,21.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,7500.0,1.0,6.0,2.0,1.0,0
30.0,13.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,3200.0,6.0,6.0,0.0,2.0,0
24.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,10000.0,4.0,6.0,0.0,1.0,0
18.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,500.0,1.0,6.0,2.0,1.0,0
20.0,19.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,10000.0,1.0,6.0,2.0,1.0,1
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,950.0,1.0,6.0,2.0,1.0,0
33.0,16.0,5.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,11000.0,6.0,6.0,2.0,8.0,1
63.0,14.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,18800.0,6.0,6.0,0.0,3.0,0
19.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,13000.0,3.0,6.0,2.0,1.0,0
49.0,14.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,6.0,6.0,0.0,2.0,1
48.0,15.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,2.0,1.0,1
19.0,16.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2000.0,1.0,6.0,2.0,2.0,0
21.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3000.0,6.0,6.0,0.0,7.0,0
27.0,18.0,5.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,12000.0,6.0,6.0,2.0,1.0,0
35.0,19.0,3.0,2.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,28000.0,6.0,6.0,2.0,1.0,1
22.0,16.0,5.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,900.0,4.0,6.0,0.0,9.0,0
53.0,14.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1
20.0,19.0,5.0,1.0,2.0,0.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,18000.0,1.0,6.0,0.0,1.0,0
22.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,6600.0,6.0,6.0,2.0,1.0,0
20.0,19.0,5.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,950.0,1.0,6.0,2.0,1.0,0
35.0,13.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,6000.0,6.0,6.0,0.0,1.0,1
27.0,14.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,630.0,6.0,6.0,0.0,5.0,1
19.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,14600.0,3.0,6.0,0.0,1.0,1
37.0,17.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1
23.0,21.0,5.0,2.0,2.0,0.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,4000.0,6.0,6.0,2.0,6.0,0
32.0,12.0,5.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,25500.0,6.0,6.0,0.0,1.0,1
18.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,500.0,6.0,6.0,0.0,1.0,1
19.0,18.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3700.0,6.0,6.0,0.0,1.0,0
48.0,19.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,11000.0,6.0,6.0,0.0,1.0,1
25.0,12.0,5.0,1.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
16.0,12.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1
19.0,19.0,5.0,1.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,0
27.0,18.0,5.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,0.0,1.0,1
25.0,16.0,5.0,2.0,1.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,0.0,6.0,6.0,2.0,1.0,1
