AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PINCP,ESR,FER,RAC1P,label
16.0,12,5,2,2,1,1,1,0,1,1,2,2,2,0.0,6,2,1,0
59.0,20,1,2,2,0,4,1,4,1,2,2,2,2,0.0,6,0,6,0
50.0,20,3,2,2,0,1,1,4,1,1,2,2,2,10000.0,6,2,1,1
28.0,19,1,2,2,0,1,1,4,2,1,2,2,2,0.0,6,2,1,1
38.0,16,1,1,2,0,4,1,4,1,2,2,2,2,20000.0,1,0,1,0
46.0,14,1,1,2,0,5,1,4,1,2,2,2,2,30000.0,1,0,1,0
40.0,20,1,2,2,0,1,1,4,2,1,2,2,2,0.0,6,2,1,1
29.0,18,3,2,2,0,1,1,4,4,1,2,2,2,24000.0,1,2,1,0
55.0,19,1,2,2,0,1,1,4,2,1,2,2,2,20500.0,1,0,9,0
44.0,9,5,2,2,0,5,1,4,1,2,2,2,2,0.0,6,2,1,1
16.0,13,5,1,2,7,5,3,0,4,2,2,2,2,0.0,6,0,8,1
63.0,19,5,1,1,0,1,1,4,1,1,2,2,2,8300.0,6,0,1,1
15.0,12,5,2,2,1,1,1,0,4,1,2,2,2,0.0,0,2,6,1
30.0,19,5,1,1,0,1,1,4,1,1,2,2,1,13200.0,6,0,2,1
19.0,19,5,2,2,0,1,1,4,2,1,2,2,2,8000.0,6,2,1,0
63.0,17,2,2,2,0,4,1,4,1,2,2,2,2,2000.0,6,0,1,1
36.0,1,1,2,2,0,5,3,4,1,2,2,2,2,0.0,6,2,6,0
26.0,16,1,1,2,0,1,3,4,1,1,2,2,2,16700.0,1,0,1,0
42.0,1,4,2,2,0,4,1,4,1,2,2,2,2,0.0,6,2,1,0
24.0,20,5,2,2,0,5,3,4,1,2,2,2,2,0.0,6,2,6,0
21.0,20,5,2,2,0,1,3,4,2,1,2,2,2,20000.0,1,2,1,0
54.0,11,3,1,2,0,5,1,4,1,2,2,2,2,16800.0,1,0,8,1
17.0,13,5,2,2,1,1,1,4,1,1,2,2,2,-2300.0,6,2,1,0
63.0,2,1,2,2,0,5,1,4,4,2,2,2,2,13200.0,1,0,6,0
49.0,19,5,2,1,0,1,1,4,2,1,2,2,2,12200.0,3,2,8,1
21.0,16,5,2,2,0,1,1,4,1,1,2,2,2,300.0,1,2,2,1
40.0,17,3,2,2,0,5,1,4,1,2,2,2,2,20000.0,1,2,1,0
42.0,18,5,1,2,0,1,3,4,1,1,2,2,2,0.0,3,0,1,1
39.0,18,1,1,2,0,1,1,4,4,1,2,2,2,5000.0,1,0,1,0
49.0,9,1,1,2,0,5,1,4,1,2,2,2,2,26000.0,1,0,8,0
45.0,21,1,2,2,0,5,2,4,1,2,2,2,2,0.0,6,2,6,1
63.0,18,3,1,2,0,4,1,4,1,2,2,2,2,9400.0,1,0,6,1
41.0,20,5,1,1,0,4,3,4,4,2,2,2,2,0.0,6,0,1,0
50.0,9,1,1,2,0,4,1,4,1,2,2,2,2,18000.0,1,0,8,1
52.0,16,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,0,2,0
47.0,15,1,2,2,0,5,1,4,4,2,2,2,2,0.0,6,2,8,0
23.0,21,5,2,2,0,3,1,4,1,1,2,2,2,15000.0,1,2,6,0
23.0,16,5,1,2,0,1,1,4,1,1,2,2,2,0.0,3,0,8,1
24.0,21,5,1,1,0,1,1,4,4,1,2,2,1,18000.0,1,0,8,0
40.0,19,5,1,1,0,1,1,4,1,1,1,1,1,3300.0,6,0,1,1
31.0,21,1,2,2,0,1,1,4,1,1,2,2,2,0.0,6,2,1,1
56.0,16,1,2,2,0,4,1,4,1,2,2,2,2,23000.0,1,0,6,0
15.0,12,5,2,2,7,1,3,0,2,1,2,2,2,0.0,0,2,1,1
47.0,16,5,2,1,0,4,1,4,4,2,2,2,1,0.0,6,2,8,1
40.0,22,1,2,2,0,1,1,4,1,1,2,2,2,2300.0,6,2,1,0
58.0,16,1,2,2,0,5,1,4,1,2,2,2,2,27000.0,1,0,6,1
35.0,19,1,2,2,0,1,1,4,2,1,2,2,2,0.0,6,2,1,0
19.0,16,5,2,2,0,5,1,4,1,2,2,2,2,5000.0,1,2,1,1
