query_index,true_label,prediction,selected_cluster,dataset,method,epsilon,K,seed
0,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
1,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
2,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
3,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
4,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
5,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
6,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
7,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
8,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
9,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
10,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
11,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
12,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
13,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
14,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
15,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
16,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
17,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
18,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
19,1,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
20,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
21,0,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
22,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
23,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
24,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
25,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
26,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
27,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
28,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
29,0,0,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
30,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
31,1,1,2,Adult,C3_PRIVSYN_ICL_DP_SAMPLE_LLM,1.0,3,1000
